Metric Name (CN),English Name,English Abbreviation,Category,Lower Bound,Upper Bound,Unit,Professional Interpretation,Recommendations,Applicable Scope,Health Interpretation,Aliases
If test results are abnormal, it is recommended to complete peripheral blood smear, bone marrow puncture, pathogen detection," or imaging examinations under doctor's guidance to clarify the cause.""",Adults,,,,,,
Monocyte count,Monocyte count,MONO#,Blood Routine,0.12,0.8,10^9/L,The normal range of monocyte absolute count varies with detection methods, populations, and physiological states," generally (0.12-0.8)×10^9/L. Elevated monocyte absolute count may be related to infection, inflammation, autoimmune diseases, etc., but comprehensive judgment is needed in combination with clinical symptoms, other test results, and medical history.,If you have questions about your monocyte absolute count or other blood indicators, it is recommended to consult a doctor or professional medical personnel. They can provide detailed explanations and suggestions based on your specific situation and provide personalized medical guidance. At the same time, maintaining a healthy lifestyle, such as a balanced diet, moderate exercise, and adequate sleep, helps maintain normal immune function in the body.,Adults,",
Monoamine oxidase,Monoamine oxidase,MAO,Enzyme Assay,3,6,U/mL,Monoamine oxidase is an enzyme that catalyzes the oxidative deamination of monoamines. In clinical practice, increased activity may be related to liver diseases such as hepatitis and cirrhosis, and may also be related to extrahepatic diseases such as hyperthyroidism," systemic sclerosis, chronic congestive heart failure, and diabetes. Decreased activity may be seen in conditions such as burns and hyperuricemia.,If test results are abnormal, it is recommended to conduct a comprehensive evaluation in combination with other liver function indicators and clinical manifestations, and perform further examinations if necessary to clarify the cause.,Applicable for auxiliary diagnosis of liver diseases, hyperthyroidism, systemic sclerosis, chronic congestive heart failure, diabetes, etc.,The monoamine oxidase activity in healthy adults is usually within the range of 3-6 U/mL (aldehyde phenylhydrazone method). Abnormal results may indicate diseases of the liver or other systems, and judgment should be made in combination with other test results and clinical manifestations.",
Homocysteine,Homocysteine,Hcy,Cardiovascular Metabolic Risk,5,15,μmol/L,"Plasma homocysteine (also known as homocysteine, Hcy) is an intermediate product in the methionine metabolism process. Homocysteine was discovered by DeVgneaud in 1932, and its structural formula is HSCH2(NH2)CO2H. There are two forms of HCY in plasma: oxidized and reduced. The oxidized form contains disulfide groups, including homocystine and cystine; the reduced form contains thiol groups, including homocysteine and cysteine. Normal organisms contain small amounts of homocysteine, with the reduced form accounting for only 2%.",In summary, homocysteine as an independent cardiovascular risk indicator has been widely accepted and is another risk factor in addition to hyperlipidemia," smoking, and diabetes. Although the biochemical basis of hyperhomocysteinemia needs to be clarified, the relationship between its detection and various diseases and treatment monitoring will need further exploration. Although the use of folic acid, VitB12, and VitB6 can reduce its concentration in the body, it is not used for treatment. Currently, the determination of plasma homocysteine mainly uses HPLC methods, and due to time and cost factors, it is only applied in large hospitals or testing centers. With the needs of clinical development, fluorescence polarization immunoassay for homocysteine will develop rapidly, and the homocysteine reagent used with the AXSYM fully automated immunoanalyzer has been approved by the US FDA. The determination of homocysteine has important clinical significance for the prevention and treatment of cardiovascular diseases.,Adults,",
Basophils,Basophils,BASO,Blood Routine,0,1,%,Basophils are a type of white blood cell that originate from multipotent hematopoietic stem cells in the bone marrow and enter the bloodstream after differentiation and maturation in the bone marrow. Increased basophil counts are more common in certain allergic diseases, certain blood diseases, certain malignant tumors," and certain infectious diseases.,If basophil counts are abnormally increased, further examination is recommended to determine whether there are allergic diseases, blood diseases, malignant tumors, or infectious diseases.,Applicable for routine blood tests, used to assess the possibility of white blood cell classification and inflammation, allergies, and other diseases.,Basophils have very low reference values in peripheral blood, and a decrease in their number has no clinical significance. Increased numbers may be related to allergic diseases, blood diseases, malignant tumors, or infectious diseases.",
Basophil percentage,Basophil percentage,BASO%,Blood Routine,0,1,%,Basophil percentage is generally 0~1%. Basophils belong to a class of white blood cells, originating from bone marrow hematopoietic stem cells and maturing in the bone marrow. After entering the blood, they can participate in a series of inflammatory reactions in the body," such as resisting external pathogens, and can also participate in the body's immune responses. Basophils account for 0~1% of the total normal white blood cell count. Values below the normal range may be caused by bacterial or viral infections, severe inflammation, immune system abnormalities, and allergic reactions. If above the normal range, it may be caused by allergic diseases, chronic granulocytic leukemia, malignant tumors, etc.,Re-examination: If your basophil percentage is abnormal, it is recommended to have another re-examination after a period of time to confirm whether it is a persistent abnormality.",
Consult a doctor: Bring your physical examination report to the doctor and let the doctor conduct a comprehensive assessment based on your overall health status and other test results.,,,,,,,,,,,
Lifestyle adjustments: Maintain good living habits, pay attention to a balanced diet," and avoid excessive fatigue and stress.""",Adults,,,,,,,,
Basophil count,Basophil count,BASO#,Blood Routine,0.02,0.1,10^9/L,The absolute count of basophils in healthy adults' peripheral blood is generally (0.02-0.1)×10⁹/L. This range is derived from extensive clinical research and statistics, reflecting the quantitative distribution of basophils in the human body under normal physiological conditions. Within this normal range, basophils can normally perform their physiological functions. Basophils contain abundant bioactive substances," such as histamine, heparin, and leukotrienes. When the body is stimulated by external factors, such as allergen invasion, basophils release these substances to participate in immune responses and inflammation regulation.,When mild elevation of basophils is found, it is recommended to record recent medication history and observe whether there are symptoms such as skin and mucosal bleeding, bone pain, etc. Daily avoidance of known allergens and maintaining adequate sleep helps with immune regulation. If the value continues to rise or is accompanied by abnormalities such as decreased platelets, peripheral blood smear, bone marrow biopsy, and other examinations should be completed to exclude blood system diseases. In terms of diet, foods rich in vitamin B12 such as fish and eggs can be increased, and high-histamine foods such as pickled products should be limited.,Adults,",
Eosinophils,Eosinophils,EOS,Blood Routine,0.5,5,%,Eosinophils are components of white blood cells and, like other granulocytes, originate from hematopoietic stem cells in the bone marrow. Eosinophils have the function of killing bacteria and parasites," and are extremely important cells in immune responses and allergic reactions. Eosinophils can release contents from their granules, causing tissue damage and promoting inflammation progression. The number of eosinophils in the blood shows diurnal periodic fluctuations. Cell counts decrease in the morning and increase at midnight. This periodic change in cell numbers is related to the diurnal fluctuations in the amount of glucocorticoids released by the adrenal cortex. When the concentration of corticosteroids in the blood increases, the number of eosinophils decreases; when the concentration of corticosteroids decreases, the number of eosinophils increases.,If eosinophil counts are abnormal, it is recommended to combine clinical symptoms and other test results to further investigate possible causes such as allergic diseases, parasitic infections, skin diseases, blood diseases, and malignant tumors.,Applicable for routine blood tests, allergic disease screening, parasitic infection diagnosis, skin disease assessment, etc.,Eosinophils within the normal range indicate normal immune system function and the ability to effectively respond to bacterial and parasitic infections and participate in immune regulation. Abnormal increases or decreases may indicate allergic reactions, parasitic infections, certain blood diseases, or other health problems, requiring further examination to clarify the cause.",
Eosinophil percentage,Eosinophil percentage,EOS%,Blood Routine,0.5,5,%,"Eosinophil percentage generally refers to the proportion of eosinophils in the total white blood cell count. This indicator is meaningful for assessing human health status, especially immune responses and allergic states.",,,,
Under normal circumstances, eosinophil percentage is maintained between 0.5% and 5%. Eosinophils are a type of white blood cell with the function of phagocytizing and killing bacteria and parasites, and also participate in the body's immune responses and allergic reactions. When eosinophil percentage increases, it may indicate allergic reactions in the body, such as bronchial asthma, urticaria, etc., or parasitic infections, such as schistosomiasis, ascariasis," etc. Certain skin diseases such as eczema and psoriasis, as well as blood diseases and malignant tumors, may also cause this indicator to increase. Conversely, decreased eosinophil percentage may occur in the early stages of typhoid and paratyphoid fever or after stress states such as major surgery and burns. Long-term use of adrenal corticosteroids may also cause this indicator to decrease. Although its clinical significance is relatively small, it still needs to be comprehensively judged in combination with other symptoms."",1. Recheck blood routine:",
Exclude transient elevation (such as stress, testing errors).,,,,,,,,,,
2. Complete relevant examinations:,,,,,,,,,,,
• Parasite screening: Fecal egg examination, serum antibody testing.,,,,,,,,,,
• Allergy assessment: Allergen testing, blood IgE levels.,,,,,,,,,,
• Imaging: Chest CT (to investigate lung lesions), abdominal ultrasound (liver/spleen/intestinal abnormalities).,,,,,,,,,,
• Bone marrow puncture: When blood diseases are suspected.,,,,,,,,,,,
3. Specialist consultation:,,,,,,,,,,,
Further diagnosis in hematology, rheumatology and immunology," or infectious disease departments.""",Adults,,,,,,,,
Eosinophil count,Eosinophil count,EOS#,Blood Routine,0.02,0.5,10^9/L,Eosinophil absolute count is an indicator in routine blood tests, referring to the specific number of eosinophils per liter of blood, with a normal range usually of 0.02-0.5×10⁹/L. It is mainly used to assess allergic diseases," parasitic infections, certain skin diseases, or blood system diseases.,Mild elevation (0.5-1.5×10⁹/L): 1.",
Judge in combination with symptoms, and if there is no discomfort, regular re-examination can be done.,,,,,,,,,
Investigate allergens or parasitic infections.,,,,,,,,,,,
Significant elevation (>1.5×10⁹/L): 2.,,,,,,,,,,,
Further examinations are needed, such as bone marrow puncture, genetic testing, imaging examinations, etc., to exclude blood diseases or tumors.,,,,,,
Decreased: 3.,,,,,,,,,,,
Usually no special treatment is needed," but infection or drug effects need to be excluded.""",Adults,,,,,,,,,
Gynecological exam,Gynecological exam,GynExam,Physical Examination,None,None,No unit,"Cervical erosion is a common """"overdiagnosis"""" and should be judged in combination with TCT and HPV results.",If TCT or HPV is abnormal, it is recommended to visit a gynecology department.,"Female,Gynecological examination helps detect cervical lesions, infections, and other abnormalities.",
Urinary gamma-glutamyl transferase,Urinary gamma-glutamyl transferase,uGGT,Urine Routine,10,50,U/L,Urinary gamma-glutamyl transferase activity reflects renal parenchymal lesions. For patients suspected of kidney disease, it can serve as a differential indicator for renal transplant rejection after kidney transplantation and assess the degree of renal tubular damage.,If test results are abnormal," further examination is recommended to clarify the specific type and degree of kidney disease.,Applicable for patients suspected of kidney disease, monitoring of rejection reactions after kidney transplantation, and assessment of renal tubular damage degree.,Within the normal range indicates normal kidney function. Abnormal elevation may suggest diseases such as acute glomerulonephritis, lupus nephritis, pyelonephritis, or kidney damage caused by nephrotoxic substances and renal transplant rejection.",
Urine nitrite,Urine nitrite,NIT,Urine Routine,13,22,μmol/L,In urine of normal specific gravity, the detectable range of nitrite is 13-22 μmol/L, which is a screening test for urinary tract bacterial infections. Some other factors can reduce the sensitivity of the reaction.,"It is recommended to avoid high-nitrate diets 24 hours before testing, and collect midstream morning urine for testing. Incomplete container disinfection during urine collection and contamination by female secretions can cause false positives. Standard cleaning of the vulva is required before collecting midstream urine, and urine specimens should be sent for testing within 1 hour. Repeated positive results without symptoms are recommended for re-examination of urine routine and urine culture. Urinary retention caused by neurogenic bladder or prostate hyperplasia prolongs urine retention time and increases bacterial reproduction opportunities. These patients may be accompanied by difficulty urinating and increased residual urine volume, requiring urodynamic examination for clear diagnosis, and catheterization or surgical treatment when necessary.,Adults,",
Urine microalbumin,Urine microalbumin,UMA,Renal Function,0,60.2,mg/L,In 1982, Viberti et al. discovered that in diabetic patients, total protein in urine was within the normal range," but urinary albumin excretion increased, first proposing the concept of urine microalbumin (ALB). Albumin is one of the important plasma proteins. Under normal circumstances, albumin has a large molecular weight and cannot cross the glomerular basement membrane. Therefore, healthy human urine contains only very low concentrations of albumin, specifically no more than 20mg per liter of urine albumin, so it is also called """"urine microalbumin test"""". In disease, the glomerular basement membrane is damaged, causing changes in permeability. Any lesion that can increase glomerular basement membrane permeability can lead to albumin excretion. At this time, albumin can enter the urine, and urinary albumin concentration can show continuous elevation. The ideal method for measuring urinary albumin is to collect a 24-hour urine specimen. Since urinary albumin excretion has a large degree of variation, a single increase in albumin excretion in untimed urine specimens (random urine) may be meaningless, and only 2-3 consecutive elevations have diagnostic value. Measurement methods include radioimmunoassay, enzyme-linked immunosorbent assay (ELISA), etc.,Urine microalbumin measurement reflects early kidney disease and kidney damage. Pathological elevation is seen in diabetic nephropathy, hypertension, and preeclampsia. The early urine microalbumin stage is an early signal and precursor of kidney disease occurrence. At this time, kidney damage is in a reversible period. If treated in time, the development process of kidney disease can be stopped or reversed. Urine microalbumin testing can serve as a renal function indicator for systemic or local inflammatory reactions, such as early kidney lesions caused by urinary tract infections; a predictive indicator for acute pancreatitis complications; and can also be tested in people taking drugs that affect renal function to facilitate early observation of renal function and early measures.,Adults,",
Urine albumin creatinine ratio,Urine albumin creatinine ratio,ACR,Renal Function,0,32.3,mg/gcr,"24-hour urine protein quantification is the gold standard for detecting total urinary protein, but it is cumbersome, time-consuming, and prone to contamination. Clinically, a test method that can both replace 24-hour urine quantification to analyze the severity of urinary protein and be convenient for patients has emerged — urine microalbumin/creatinine ratio, which only requires random collection of a single urine sample (morning urine is best) for testing. Microalbumin/creatinine ratio is a reliable method for monitoring urinary protein excretion and is a recommended indicator for detecting early kidney damage.",,,,
Urine microalbumin/creatinine ratio (UACR) is obtained by separately measuring urine microalbumin and urine creatinine and calculating their ratio. Creatinine is a waste product of human muscle metabolism, and 99% of creatinine is excreted through the kidneys. The concentration of creatinine in urine is inversely proportional to urine volume. UACR divides the concentration of microalbumin by the concentration of creatinine," which can reduce the influence of urine volume on albumin results in random urine sample testing.""",UACR is a very sensitive indicator for urinary protein testing and has important value in the diagnosis of early kidney damage in various kidney diseases, hypertension, and diabetes. It has been listed by authoritative international guidelines (American Kidney Foundation, American Hypertension Society, American Diabetes Association) as a diagnostic and staging standard for early kidney disease and chronic kidney disease.,Adults,,,
Urine specific gravity,Urine specific gravity,SG,Urine Routine,1.003,1.03,None,Urine specific gravity refers to the ratio of the weight of urine to the same volume of pure water under 4°C conditions, depending on the concentration of dissolved substances in urine and proportional to the total amount of solids. The measurement of urine specific gravity is very helpful for understanding the kidney's concentration and dilution functions.,The level of urine specific gravity is related to water intake and the urine value at that time," mainly depending on the kidney's concentration function. In cases of water metabolism disorders, urine specific gravity may increase or decrease, and diagnosis needs to be combined with specific conditions.,Applicable for assessing kidney concentration and dilution functions, as well as diagnosing related diseases.,Normal human urine specific gravity can fluctuate greatly due to differences in diet and water intake, sweating and urination, etc., but generally should be between 1.010 and 1.025. Drinking large amounts of water can lower urine specific gravity to 1.003, while after drinking less water and sweating more, urine specific gravity can rise to above 1.030. Infants' urine specific gravity is mostly lower than that of adults.",
Urine amylase,Urine amylase,UAMY,Urine Routine,80,300,U/L,Urine amylase activity measurement is an important indicator for diagnosing pancreatitis. It begins to increase 12-24 hours after the onset of acute pancreatitis and recovers within 3-10 days. Its activity changes are closely related to pancreatic function. Diseases such as pancreatic cancer, pancreatic injury, acute cholecystitis," and intestinal obstruction can also cause elevation. During acute attacks of chronic pancreatitis, there may be moderate elevation. Diseases such as severe hepatitis and cirrhosis may lead to decreased urine amylase activity.,When test results are abnormal, serum amylase analysis should be combined, and differential diagnosis should be performed through comprehensive clinical assessment.,Mainly used for the diagnosis of pancreatitis, also applicable for auxiliary diagnosis of diseases such as pancreatic cancer, pancreatic injury, acute cholecystitis, and intestinal obstruction.,Urine amylase is a digestive enzyme secreted by the pancreas and participates in the digestive process. Its activity is maintained within the range of 80-300U/L (Somogyi method) in healthy populations.",
Urine leukocytes,Urine leukocytes,WBCu,Urine Routine,0,5,cells/HP,"White blood cells in urine (WBC, LEU) are key indicators in routine urine tests, belonging to medical auxiliary diagnostic methods, used for screening urinary system infections, applicable to health checkups and people with symptoms such as painful urination. Normal values are 1-2 or less/10HP for males and 1-2 or less/HP for females, and reagent strip method detection is negative. Test samples need to be fresh morning urine or midstream urine, and women need to avoid menstruation to prevent contamination. White blood cells in fresh urine have intact morphology, mainly neutrophils, and may also include lymphocytes and monocytes.",Elevated white blood cells in routine urine tests may be caused by urinary tract infections, urinary system stones," prostatitis, pyelonephritis, etc., and further diagnosis is needed in combination with clinical symptoms. Bacterial invasion of the urethra causes inflammatory reactions, commonly with frequent urination and urgency symptoms. Antibacterial drugs such as levofloxacin tablets, cefixime capsules, and fosfomycin trometamol powder can be used as prescribed. Stones rubbing against the mucosa cause secondary infections, often accompanied by lumbar and abdominal colic. Extracorporeal lithotripsy or ureteroscopic stone removal is needed, combined with taking tamsulosin sustained-release capsules, diclofenac sodium suppositories, and racemic anisodamine tablets to relieve symptoms. Common in young and middle-aged men, related to prolonged sitting or pathogen infection.,Adults,",
Urine glucose,Urine glucose,GLUu,Urine Routine,Negative,++++,mg/dl,Urine glucose refers to sugars in urine, mainly glucose in urine. Normal people have very little urine glucose, which generally cannot be detected by common methods," so normal people's urine glucose should be negative, or there should be no sugar in urine. In normal people, only when blood glucose exceeds 160-180mg/dl can sugar be excreted from urine in larger amounts, forming urine glucose.,The treatment principle for diabetes is to combine diet, exercise, medication, and monitoring.,Used for observing and judging the long-term treatment effects of diabetes to provide a basis for future treatment plan formulation.,High urine glucose is not necessarily diabetes. Many diseases can cause high urine glucose, and it should be distinguished from diabetes.",
Urea,Urea,Urea,Renal Function,1.8,6.5,μmol/L,1. Ages 20-59,,,,
Males 3.1-8.0mmol/L, females 2.6-7.5mmol/L;,,,,,,,,,,
2. Ages 60-79,,,,,,,,,,,
Males 3.6-7.5mmol/L, females 3.1-8.8mmol/L;,,,,,,,,,,
3. Infants and children,,,,,,,,,,,
Normal reference range is 1.8-6.5mmol/L.,,,,,,,,,,,
Generally, elevated urea suggests possible kidney damage, prerenal oliguria, excessive protein breakdown, etc. In addition, high-protein diet, medications, aging, etc. may also cause urea elevation. If kidney disease already exists," it may indicate disease progression.""","Treatment for high urea needs to be combined with the cause, prioritizing exclusion of kidney diseases, adjusting diet and lifestyle habits, while avoiding dehydration and drug abuse. If it still cannot be reduced after adjustment or is accompanied by other abnormal symptoms, early medical consultation is needed for clear diagnosis. Common causes of elevated urea: Renal dysfunction. The kidneys are the main organ for excreting urea. If glomerular filtration rate decreases (such as chronic kidney disease, acute kidney injury), urea cannot be effectively excreted, leading to increased concentration in the blood.,Adults,",
Blood urea nitrogen,Blood urea nitrogen,BUN,Renal Function,2.86,7.14,mmol/L,A nitrogen-containing compound in plasma other than protein, filtered through the glomeruli and excreted from the body. BUN increases when renal insufficiency is decompensated, and it is an important indicator for judging glomerular filtration function.,"When renal function is abnormal, protein intake should be controlled (45-50g/day), choosing high-quality protein such as lean meat and fish; ensuring calorie supply (30Kcal/Kg body weight); regularly monitoring renal function indicators.,Assess glomerular filtration function, monitor progression of renal insufficiency, observe nutritional metabolic status, and auxiliary diagnosis of liver function.,Within normal range indicates good kidney excretion function; elevation may suggest kidney damage, dehydration, or high-protein diet; low levels may be related to insufficient protein intake or abnormal liver function. Elderly people may show single mild elevation, which is a physiological aging phenomenon.",
Urine red blood cells,Urine red blood cells,RBCu,Urine Routine,None,None,Negative,Positivity may be physiological (menstruation, contamination) or may be caused by urinary infection, tumors," or stones.,Abnormal results are recommended for evaluation of the cause in the nephrology department.,Adults,Abnormal urine red blood cells suggest urinary tract injury or bleeding source.",
Urine creatinine,Urine creatinine,UCr,Renal Function,7,18,mmol/d,Causes of increased urine creatinine: Can be seen in acromegaly, gigantism, diabetes," infection, hypothyroidism, meat consumption, exercise, drug intake (such as vitamin C, levodopa, methyldopa, etc.). In daily life, it is necessary to prevent colds, control diet and emotions, avoid fatigue, control blood pressure, blood sugar and other factors to protect kidney function. As long as these are noted, urine creatinine will gradually decrease.,1. Limit protein intake: (Proteins from meat, eggs, and dairy products are of better quality) Protein intake should be controlled at 0.6 grams per kilogram of body weight. For example, if the weight is 50 kg, the daily protein intake should be controlled at about 30 grams.",
2. Supplement sufficient calories: Due to limiting protein intake, the intake of rice and other foods is also limited, which can easily cause insufficient calories. At this time, the original protein in the body will be consumed, which instead increases urea and reduces resistance. Therefore, after activity, it is necessary to eat more high-calorie, low-protein foods (carbohydrates such as: white sugar, honey, fruit candy," etc.; oils and protein powder such as: vermicelli, sago, etc.)",
3. Limit sodium ions: Too many sodium ions in the body can easily cause increased blood pressure, edema, ascites, pulmonary edema, leading to heart failure, etc. Foods such as salt, soy sauce, monosodium glutamate, tomato sauce, satay sauce," vinegar, etc. contain large amounts of sodium, so less salt should be used when cooking. When eating out, you can first dilute the salt in the food with plain water.",
4. Limit potassium ions: Usually should eat less vegetables with high potassium content (such as: mushrooms, mustard greens, cauliflower, spinach, water spinach, bamboo shoots, tomatoes, carrots, pumpkins, guava) and fruits (such as: loquats," peaches, oranges, hard persimmons, oranges, etc.), try to avoid eating raw vegetable salads. Others such as: coffee, strong tea, chicken essence, beef essence, ginseng essence, concentrated meat soup, soy sauce, bagged salt, etc. also have high potassium content and should be eaten as little as possible.",
5. Limit phosphorus ions: Foods with higher phosphorus content include: dairy products, soda, cola, yeast (health sugar), offal, dried beans, whole grains (brown rice, whole wheat bread), eggs, small dried fish," etc. These foods should be consumed with caution."",Adults,",
Urobilinogen,Urobilinogen,UBG,Urine Routine,0.13,2.3,μmol/L,Urobilinogen qualitative test (UBG) can be used for differential diagnosis of hemolytic jaundice, hepatocellular jaundice, and obstructive jaundice. Normal people's urobilinogen is generally weakly positive. In obstructive jaundice," urobilinogen can be negative; when urobilinogen is negative, urobilin should be further measured; when urine bilirubin is positive or elevated and urobilinogen is decreased, it can generally be determined that the patient has complete obstructive jaundice. Increased urobilinogen is more common in hemolytic jaundice and hepatocellular jaundice.,The first morning urine is preferred, and emergency patients can collect at any time. When collecting patient urine specimens, the container for urine must be clean and dry, and midstream urine should be collected. The time from excretion to testing should be completed within 2 hours. If it cannot be sent for testing or analysis in time, it should be stored at 4°C, but the refrigeration time should not exceed 6 hours.,Used for differential diagnosis of hemolytic jaundice, hepatocellular jaundice, and obstructive jaundice,Urobilinogen qualitative test: negative or weakly positive. Positive may indicate hepatocellular jaundice, hemolytic jaundice, heart failure, sepsis, scarlet fever, etc. Negative may indicate obstructive jaundice.",
Urine bilirubin,Urine bilirubin,BILu,Urine Routine,7,14,10^9/L,The normal value of urine bilirubin is generally 7~14 μmol/L. Urine bilirubin is a metabolic product after red blood cell destruction, forming conjugated bilirubin with protein in the blood, which can be filtered through the glomeruli and excreted in urine," called urine bilirubin. When urine bilirubin is higher than the normal value, it may be due to liver damage, which reduces the liver's metabolic function, causing abnormal bilirubin metabolism and increasing bilirubin content in urine. Patients can use drugs such as bicyclol and silymarin capsules under the guidance of a doctor for treatment.,Common in two situations: elevated direct bilirubin and elevated indirect bilirubin:",
(1) Elevated direct bilirubin is mostly obstructive diseases, commonly biliary obstruction, such as acute cholecystitis, cholangitis, common bile duct malignant tumors, pancreatic head malignant tumors, all of which can cause bilirubin obstruction, leading to a significant increase in urine bilirubin.,,,,
(2) Elevated indirect bilirubin is more common in hemolytic diseases, commonly seen in pernicious anemia, hereditary spherocytosis, decompensated cirrhosis with hypersplenism, etc.,,,,,,,
The more plus signs, the higher the direct bilirubin indicator may be.,,,,,,,,,,
When urine bilirubin is below the normal value, it may be due to anemia. Severe anemia will cause a decrease in human hemoglobin, red blood cells, etc.," and will also lead to a decrease in urine bilirubin. Patients can usually use drugs such as iron dextran and ferrous fumarate under the guidance of a doctor for treatment.""",Adults,,,,,,
Urine protein,Urine protein,PRO,Urine Routine,None,None,Negative,"Urine protein ""+"" is mostly physiological. If ""++"" or above", nephritis, diabetic nephropathy," etc. should be alert.,Abnormal results are recommended for further analysis in the nephrology department.,Adults,Persistent positive urine protein suggests damage to the renal filtration barrier.",
Urine ketones,Urine ketones,KET,Urine Routine,Negative,+++,mg/dL or mmol/L,Urine ketones are a general term for three different components: acetone, acetoacetic acid, and β-hydroxybutyric acid. They are intermediate products of fat metabolism in the body. Under normal circumstances," very little is produced and cannot be detected by conventional methods, so the ketone body qualitative test in normal people is negative. However, in starvation, various causes of glucose metabolism disorders leading to increased fat breakdown, and diabetic acidosis, because the rate of ketone body production is greater than the rate of tissue utilization, ketonemia can occur, followed by ketonuria.,If urine ketones are '++' or above 40mg/dl, you should go to the hospital immediately. Diabetic patients, especially type 1 diabetic patients, should be able to self-monitor urine ketones to detect excessive ketone accumulation in the body in time.,Diabetic ketoacidosis, non-diabetic ketosis (such as infectious diseases, severe diarrhea, vomiting, starvation, prolonged fasting, etc.), poisoning, taking biguanide hypoglycemic drugs, etc.,Under normal circumstances, the urine ketone qualitative test is negative. However, under certain pathological or physiological conditions, such as diabetes, starvation, after strenuous exercise, etc., urine ketones may be positive.",
Uric acid,Uric acid,UA,Renal Function,155,357,μmol/L,Elevation may indicate hyperuricemia, metabolic syndrome, gout," etc.,If there is a gout attack or persistent elevation of uric acid, it is recommended to visit the rheumatology and immunology department or nephrology department.,Adults,Abnormal uric acid metabolism is a risk factor for gout and cardiovascular diseases.",
Urine pH,Urine pH,pH,Urine Routine,5,7,PH,Urine pH is one of the contents of routine urine examination, reflecting the kidney's ability to regulate acid-base balance of body fluids. The body can excrete large amounts of acidic and alkaline substances through urine to maintain acid-base balance. Normal fresh urine is weakly acidic, with pH between 4.5 and 7.9. The kidneys need to excrete about 50-100mmol of fixed acid produced by food decomposition daily," so a high-protein diet can produce acidic urine, while eating vegetables with less fixed acid makes urine more alkaline.,1. Physiological decrease",
Diet mainly animal-based, pH decreases; during nighttime sleep, there is mild respiratory acidosis, so urine pH decreases. Intense physiological activities, such as strenuous exercise, stress, hunger, and heavy sweating, decrease urine pH.,,,
2. Physiological increase,,,,,,,,,,,
Mainly plant-based, pH>6. After meals, gastric acid secretion increases, urine acid secretion decreases, and pH increases.,,,,,,,
3. Pathological decrease,,,,,,,,,,,
Decreased urine pH is seen in: respiratory or metabolic acidosis, diabetic ketoacidosis, gout, fever, hunger, emphysema, urate or cystine stones, urinary tuberculosis, nephritis, potassium-losing metabolic alkalosis," severe diarrhea. In addition, taking drugs such as calcium chloride, ammonium chloride, potassium chloride, etc. decreases urine pH.",
4. Pathological increase,,,,,,,,,,,
Increased urine pH is seen in: respiratory or metabolic alkalosis, bacterial decomposition of urea, renal tubular acidosis, gastric aspiration, long-term vomiting, infectious cystitis," pyelonephritis. Proteus urinary tract infection shows alkaline urine.""",Adults,,,,
Urine WBC by microscopy,Urine WBC by microscopy,WBCu-mic,Urine Routine,0,5,cells/HPP,,"Antibiotic treatment: If routine urine test shows increased white blood cells and is accompanied by symptoms of urinary tract infection, such as frequent urination, urgency, painful urination, and discomfort during urination, the doctor may prescribe antibiotics to treat the infection, such as amoxicillin capsules and cefixime dispersible tablets. Usually, the doctor will choose the most suitable antibiotic based on the results of urine culture and drug sensitivity tests. During treatment, antibiotics should be taken correctly and completely according to the doctor's instructions, and should not be stopped on your own even if symptoms are relieved early.",,,
Adequate rest and fluid supplementation: While treating urinary tract infection, patients should ensure adequate rest and avoid overwork. At the same time, increase fluid intake. Drinking more water can help dilute urine, reduce the residence time of bacteria in the urethra, and promote the excretion of infection.,,,,,,,
Personal hygiene management: Maintaining good personal hygiene habits, especially perineal cleaning, can reduce the occurrence of urinary tract infections. When cleaning after using the toilet, wipe from front to back to avoid bringing intestinal bacteria to the urethral opening. In addition," avoid using cleaning agents containing irritating chemical ingredients to avoid irritating the urethra.""",Adults,,,,,,
Urine RBC by microscopy,Urine RBC by microscopy,RBCu-mic,Urine Routine,0,3,/HP,Microscopic examination of red blood cells is an examination item in routine urine tests, referring to the number of red blood cells in urine under high-power field of the microscope. The normal range for microscopic red blood cells is <3/HP, and microscopic red blood cells ≥3/HP suggests possible microscopic hematuria.,"Excessive red blood cells in the blood will form hematuria. Hematuria visible to the naked eye is called gross hematuria, but some urine has a low red blood cell content that cannot be seen with the naked eye and can only be seen under a high-power microscope. Under normal circumstances, the number of microscopic red blood cells is <3/HP. If a woman is in her menstrual period, or if urinary system stones damage the mucosa causing bleeding, etc., it may cause excessive red blood cells in the urine, resulting in microscopic hematuria during routine urine examination. If the number of red blood cells is <5/HP, it is mostly physiological hematuria. A red blood cell count of 5-10/HP is suspicious, and a red blood cell count >10/HP is called microscopic hematuria. If microscopic hematuria occurs for unknown reasons, it is recommended to go to the hospital in time for urinary system B-ultrasound, CT and other examinations to find out the cause, make a clear diagnosis, and take targeted treatment measures.,Adults,",
