指标名,英文名,英文简称,类别,左边界,右边界,单位,专业解读,建议,适用范围,健康解读
尿糖,Urine glucose,GLUu,尿常规,阴性,++++,mg/dl,尿糖指尿中的糖类，主要是指尿中的葡萄糖。正常人尿糖甚少，一般方法测不出来，所以正常人尿糖应该是阴性，或者说尿中应该没有糖。在正常人，只有当血糖超过160～180mg/dl时，糖才能较多地从尿中排出，形成尿糖。,糖尿病的治疗原则是饮食、运动、药物和监测并驾齐驱。,用于糖尿病长期治疗效果的观察和判断，以便为以后的治疗方案制定提供依据。,尿糖高并不一定都是糖尿病，有多种疾病均可引起尿糖高，要与糖尿病加以区别。
尿素,Urea,Urea,肾功能,1.8,6.5,μmol/L,"1、20-59岁
男性3.1-8.0mmol/L，女性2.6-7.5mmol/L；
2、60-79岁
男性3.6-7.5mmol/L，女性3.1-8.8mmol/L；
3、婴儿和儿童
正常值参考范围为1.8-6.5mmol/L。
一般尿素升高提示可能存在肾功能损害、肾前性少尿、蛋白质分解过多等情况，此外高蛋白饮食、药物、年龄增长等也可能导致尿素升高，如果原本存在肾脏疾病，则可能提示疾病进展。",尿素高的处理需结合病因，优先排除肾脏疾病，调整饮食和生活习惯，同时避免脱水及滥用药物。 若调整后仍无法降低或伴随其他异常症状，需尽早就诊明确诊断。 一、尿素升高的常见原因肾功能异常 肾脏是排泄尿素的主要器官，若肾小球滤过率下降（如慢性肾病、急性肾损伤），尿素无法有效排出，导致血液中浓度升高。,成人,
尿素氮,Blood urea nitrogen,BUN,肾功能,2.86,7.14,mmol/L,血浆中除蛋白质以外的一种含氮化合物，从肾小球滤过排出体外。肾功能不全失代偿时BUN会升高，是判断肾小球滤过功能的重要指标。,肾功能异常时应控制蛋白质摄入量（45-50g/日），选择优质蛋白如瘦肉、鱼类；保证热量供应（30Kcal/Kg体重）；定期监测肾功能指标。,评估肾小球滤过功能、监测肾功能不全进展、观察营养代谢状态及肝功能辅助诊断。,正常范围内表明肾脏排泄功能良好；升高可能提示肾功能损害、脱水或高蛋白饮食；偏低可能与蛋白质摄入不足、肝功能异常有关。高龄人群可能出现单项轻度升高，属生理性老化现象。
尿红细胞,Urine red blood cells,RBCu,尿常规,无,无,阴性,阳性可能为生理性（月经、污染），也可能由泌尿感染、肿瘤或结石引起。,异常建议至肾内科评估病因。,成人,尿红细胞异常提示泌尿道损伤或出血源。
尿肌酐,Urine creatinine,UCr,肾功能,7,18,mmol/d,尿肌酐增高的原因：可见于肢端肥大症、巨人症、糖尿病、感染、甲状腺功能减低、进食肉类、运动、摄入药物（如维生素C、左旋多巴、甲基多巴等）。在生活中要预防感冒，控制饮食及情绪、不要劳累、控制血压、血糖等因素，保护好肾功能。只要注意到这些，尿肌酐就会慢慢降下来。,"1、限制蛋白质摄入量：(如肉类、蛋、奶类的蛋白质品质较好)蛋白质摄取量应控制在每公斤体重0.6公克，例如：体重为50公斤，则每天蛋白质摄取量应控制在30克左右。
2、补充足够的热量：由于限制蛋白质的摄取，米饭类的摄取量也受到限制，因此容易造成热量不足，这时体内原有的蛋白质会被消耗掉，反而使尿素增加，抵抗力变差，所以活动后必需多食高热量、低蛋白的食物(糖类如：白糖、蜂蜜、水果糖等;油脂及蛋白质粉类如：冬粉、西谷米等)
3、限制钠离子：体内钠离子过多容易造成血压升高、水肿、腹水、肺积水，导致心力衰竭等。食物中的食盐、酱油、味精、蕃茄酱、沙茶酱、醋等含有大量的钠，因此平时炒菜时应少放盐。外出用餐时，可以先用白开水将食物中的盐份冲淡。
4、限制钾离子：平常应少食用钾离子含量高的蔬菜(如：香菇、芥菜、花菜、菠菜、空心菜、竹笋、蕃茄、胡萝卜、南瓜、番石榴)及水果(如：枇杷、桃子、柳丁、硬柿子、橘子等)，尽量避免生食蔬菜沙拉，其他如：咖啡、浓茶、鸡精、牛精、人参精、浓肉汤、酱油、袋盐等钾的含量也高，应尽量少吃。
5、限制磷离子：含磷较高的食物有：奶制品、汽水、可乐、酵(健素糖)、内脏类、干豆类、全谷类(糙米、全麦面包)、蛋类、小鱼干等，这些食物要谨慎食用。",成人,
尿胆原,Urobilinogen,UBG,尿常规,0.13,2.3,μmol/L,尿胆原定性（UBG）可用于溶血性黄疸、肝细胞性黄疸和阻塞性黄疸的鉴别诊断。正常人尿胆原一般为弱阳性反应。阻塞性黄疸时，尿胆原可为阴性；当尿胆原为阴性时，应进一步测定尿胆素；当尿胆红素阳性或增高、尿胆原减低时，一般可确定患者患有完全阻塞性黄疸。尿胆原增加多见于溶血性黄疸和肝细胞性黄疸。,以清晨第一次尿为宜，急诊患者可随时留取。标本要求采集患者尿液标本时，盛尿液的容器必须清洁干燥，要求留取中段尿。排出到检测应在2小时内完成。如不能及时送检或分析，应置4℃下冷藏保存，但冷藏时间不得超过6小时。,用于溶血性黄疸、肝细胞性黄疸和阻塞性黄疸的鉴别诊断,尿胆原定性试验：阴性或弱阳性。阳性可能为肝细胞性黄疸、溶血性黄疸、心力衰竭、败血症、猩红热等。阴性可能为阻塞性黄疸。
尿胆红素,Urine bilirubin,BILu,尿常规,7,14,10^9/L,尿胆红素的正常值一般在7~14umol/L。 尿胆红素是红细胞破坏后的代谢产物，在血中与蛋白质形成结合胆红素，可通过肾小球滤过由尿液排出，称为尿胆红素。 当尿胆红素高出正常值时，可能是由于肝脏受损，使肝脏的代谢功能下降，造成胆红素的代谢异常，使尿液中的胆红素含量增高。 患者可以在医生指导下使用双环醇、水飞蓟素胶囊等药物来进行治疗。,"常见于直接胆红素升高以及间接胆红素升高两种情况:
（1）直接胆红素升高，多为梗阻性疾病，常见为胆道梗阻，如急性胆囊炎，胆管炎，胆总管恶性肿瘤，胰头恶性肿瘤，均可引起胆红素阻塞，从而导致尿胆红素明显升高。
（2）间接胆红素升高，多见于溶血性疾病，常见于恶性贫血，遗传性球形细胞增多症，肝硬化失代偿期脾功能亢进等。

加号越多，说明直接胆红素的指标可能也就越高。
当尿胆红素低于正常值时，可能是因为贫血导致，严重的贫血会引起人体的血红蛋白、红细胞等含量减少，也会导致尿胆红素减少的情况。患者通常可以在医生指导下使用右旋糖酐铁、二维亚铁等药物来进行治疗。",成人,
尿蛋白,Urine protein,PRO,尿常规,无,无,阴性,尿蛋白“+”多为生理性，若“++”或以上应警惕肾炎、糖尿病肾病等。,异常建议就诊肾内科进一步分析。,成人,尿蛋白持续阳性提示肾脏滤过屏障受损。
尿酮体,Urine ketones,KET,尿常规,阴性,+++,mg/dL或mmol/L,尿酮体是三种不同成分的总称，它们是丙酮、乙酰乙酸和β-羟丁酸，它们是体内脂肪代谢的中间产物。正常情况下产生极少，用常规方法检测不出，因此正常人酮体定性试验为阴性。但在饥饿、各种原因引起的糖代谢发生障碍脂分解增加及糖尿病酸中毒时，因产生酮体速度大于组织利用速度，可出现酮血症，继而发生酮尿。,如果尿酮体在'++'或40mg/dl以上，应迅速到医院就诊。糖尿病人尤其是1型糖尿病人应能够自我监测尿酮体，以便及时发现体内过度的酮体积聚。,糖尿病酮症酸中毒、非糖尿病性酮症者（如感染性疾病、严重腹泻、呕吐、饥饿、禁食过久等）、中毒、服用双胍类降糖药等情况。,正常情况下，尿酮体定性试验为阴性。但在某些病理或生理状态下，如糖尿病、饥饿、剧烈运动后等，尿酮体可能呈阳性。
尿酸,Uric acid,UA,肾功能,155,357,μmol/L,升高可提示高尿酸血症、代谢综合征、痛风等。,如有痛风发作或尿酸持续升高建议就诊风湿免疫科或肾病科。,成人,尿酸代谢异常是痛风和心血管疾病的危险因子。
尿酸碱度,Urine pH,pH,尿常规,5,7,PH,尿酸碱度（pH值），为尿常规检查内容之一，反映肾脏调节体液酸碱平衡的能力。机体可通过尿液排出大量酸性和碱性物质，以维持酸碱平衡。正常新鲜尿呈弱酸性，pH在4.5～7.9之间，肾脏每日需排出由食物分解产生的约50～100mmol固定酸，故高蛋白质的饮食可产生酸性尿，而进食含固定酸较少的蔬菜时尿液偏碱性。,"1.生理性降低
饮食以动物性为主，pH值降低；夜间睡眠时，有轻度的呼吸性酸中毒，于是尿pH值减少。剧烈的生理活动，如剧烈运动、应激、饥饿、大汗时尿pH降低。
2.生理性增高
以植物性为主，pH>6。餐后，胃酸分泌增多，尿液酸分泌减少，pH值增大。
3.病理性降低
尿pH的降低见于：呼吸性或代谢性酸中毒、糖尿病酮症酸中毒、痛风、发热、饥饿、肺气肿、尿酸盐或胱氨酸结石、尿路结核、肾炎、失钾性的代谢性碱中毒、严重腹泻。此外，服用药物如氯化钙、氯化铵、氯化钾等使尿pH降低。
4.病理性增高
尿pH增高见于：呼吸性或代谢性碱中毒、细菌分解尿素、肾小管性酸中毒、胃吸引、长期呕吐、感染性膀胱炎、肾盂肾炎。变形杆菌性尿路感染时呈碱性尿。",成人,
尿镜检白细胞,Urine WBC by microscopy,WBCu-mic,尿常规,0,5,个/HP,,"抗生素治疗：如果尿常规显示白细胞增多，且伴有尿路感染的症状，如尿频、尿急、尿痛、排尿不适等，医生可能会开具抗生素来治疗感染，如阿莫西林胶囊、头孢克肟分散片。通常，医生会根据尿培养和药敏试验的结果来选择最适合的抗生素。在治疗期间，需按照医生的指示正确、完整地服用抗生素，即使症状提前缓解也不应自行停药。
充分休息和水分补充：在治疗尿路感染的同时，患者应确保充分休息，避免过度劳累。同时，增加水分摄入，多喝水可以帮助稀释尿液，减少细菌在尿道的停留时间，促进感染的排出。
个人卫生管理：保持良好的个人卫生习惯，尤其是会阴部清洁，可以减少尿路感染的发生。在厕后冲洗时，应从前往后擦拭，避免将肠道细菌带到尿道口。此外，避免使用含有刺激性化学成分的清洁剂，以免刺激尿道。",成人,
尿镜检红细胞,Urine RBC by microscopy,RBCu-mic,尿常规,0,3,/HP,镜检红细胞是尿常规的一项检查项目，是指尿液在显微镜的高倍视野下红细胞的数量，镜检红细胞正常值范围为＜3个/HP，镜检红细胞≥3个/HP提示可能有镜下血尿。,血液中的红细胞过多会形成血尿，肉眼能看到的血尿称为肉眼血尿，但是部分尿液中的红细胞含量较少，肉眼无法看出，需要在高倍显微镜下才能够看到，正常情况下镜检红细胞的数量＜3个/HP。如果是女性处于生理期，或是泌尿系结石损伤黏膜导致出血等，都可能会使尿液中存在过量红细胞，在进行尿常规检查时出现镜下血尿。如果红细胞数量＜5个/HP多为生理性血尿，红细胞数量5-10个/HP为可疑，红细胞数量＞10个/HP被称为镜下血尿。如果不明原因出现镜下血尿，建议及时到医院就诊，进行泌尿系统B超、CT等检查，查明原因明确诊断，并采取针对性的治疗措施。,成人,
平均红细胞体积,Mean corpuscular volume,MCV,血常规,86,100,fl,平均红细胞体积（MCV）是指人体单个红细胞的平均体积，以飞升（fl）为单位，通常是间接计算得到。适用于各种贫血病的诊断和治疗。MCV升高多见于缺乏叶酸和维生素B12的大细胞性贫血。MCV降低多见于缺铁性贫血、地中海贫血等小细胞性贫血。,根据MCV值结合其他指标判断贫血类型，如大细胞性贫血、正常细胞性贫血、单纯小细胞性贫血或小细胞低色素性贫血，并针对不同类型采取相应治疗措施。,适用于各种贫血病的诊断和治疗。,平均红细胞体积的正常参考值范围为86～100fl。生理性变异如新生儿、妊娠、饮酒、口服避孕药等可能会引起MCV升高；激烈的肌肉活动、6个月以前的儿童可能会引起MCV降低。病理性变异如缺乏叶酸、维生素B12、慢性感染、中毒等也会影响MCV值。
平均红细胞血红蛋白含量,Mean corpuscular hemoglobin,MCH,血常规,27,32,皮克,MCH是平均红细胞血红蛋白含量的缩写，指每升血液中血红蛋白含量/每升血液中红细胞个数，即每个红细胞内所含血红蛋白的平均量。大细胞贫血高于正常，缺铁性贫血则低于正常。MCH一般不能单独用于疾病诊断，需要与红细胞平均体积（MCV）、红细胞平均血红蛋白浓度（MCHC）结合在一起，并结合红细胞数、血红蛋白等综合判断。对贫血的鉴别有一定的价值。,计算红细胞平均值具有一定局限性，必须进行血液涂片来观察红细胞形态才能得出完整的概念。,贫血类型诊断,正常值范围为27～32皮克。升高常见于大细胞性贫血，如叶酸或维生素B12缺乏引起的巨幼细胞性贫血；降低常见于小细胞性贫血，如感染、肝病、炎症、类风湿疾病、尿毒症、恶性肿瘤等。
平均红细胞血红蛋白浓度,Mean corpuscular hemoglobin concentration,MCHC,血常规,320,360,g/L,适用于各种贫血病的诊断和治疗。贫血的形态学分类取决于红细胞计数、血红蛋白量和血细胞比容测定的准确性，典型的形态学改变有助于贫血的诊断与鉴别诊断。,抽血检查一般采静脉血。抽血前一天不吃过于油腻、高蛋白食物，避免大量饮酒。血液中的酒精成分会直接影响检验结果。体检前一天的晚八时以后，应禁食，以免影响第二天空腹血糖等指标的检测。,各种贫血病的诊断和治疗,平均红细胞血红蛋白浓度降低主要见于小细胞低色素性贫血。
平均血小板体积,Mean platelet volume,MPV,血常规,9,13,fl,平均血小板体积（MPV）是采用自动化血细胞分析仪后得到的一项临床检测指标，属于血常规检查。平均血小板体积大小的变化有助于鉴别血小板减少的原因。一般情况下，周围血小板破坏增多导致血小板减少者MPV增高，由骨髓病变使血小板减少者MPV减低，在感染病人中，局部炎症时MPV正常或增大，败血症时则有一半MPV减低，如果MPV随血小板数量持续下降，则为骨髓衰竭的征兆，MPV越小，提示骨髓抑制越严重。,MPV增加见于原发性血小板减少性紫癜、骨髓增生异常综合征、急性白血病缓解期、妊娠晚期、巨幼红细胞性贫血、血栓病等；MPV减少见于急性白血病化疗期、再生障碍性贫血、脾功能亢进等。,判断出血倾向及骨髓造血功能变化,血小板是血液中的一种细胞，主要功能是在血管破损时聚集形成血栓，防止血液流失。MPV的变化可以反映血小板生成和破坏的情况，有助于诊断相关疾病。
幽门螺杆菌,Helicobacter pylori,HP,感染检测,无,无,阴性,检测方法多样，判断标准依据仪器设定，阳性提示感染但并非都需根除。,建议结合症状判断，若有胃炎/胃溃疡建议消化科评估根除治疗。,成人,幽门螺杆菌与胃炎、溃疡及胃癌风险相关。
延胡索酸还原酶,Fumarate reductase,FRD,酶学检测,0.625,20,ng/mL,延胡索酸还原酶（EC 1.3.1.6）是生物体内催化延胡索酸接受NADH传递的氢原子还原生成琥珀酸的关键酶。该酶在革兰氏阴性菌、兼性厌氧菌及部分真核生物中承担厌氧呼吸链末端电子传递功能，其结构分为膜结合型和可溶型两种形式。,检测时需注意不同批次试剂盒的灵敏度差异，样本处理需遵循28保存规范。,微生物代谢、工业催化、环境修复、生物传感器及饲料添加剂等领域。,该酶在琥珀酸生物合成及工业催化领域具重要应用价值，通过催化反应生成琥珀酸可改善动物肠道健康。
心律,Cardiac rhythm,Rhythm,心血管检查,60,100,次/分,"心律是汉语词语，指心脏跳动的节律。健康的心律应均匀，心脏病或心脏神经调节异常可导致心律不齐或心律失常 [1]。心率指心脏每分钟跳动的次数，正常范围为60-100次/分钟，超过或低于该范围分别称为心动过速和心动过缓。
心律异常常见于心脏病或神经调节异常，精神紧张、吸烟酗酒等因素可能诱发。移动医疗技术通过可穿戴设备和5G通信实现心律失常的即时监测 [3]。心脏检查需同时关注心律与心率指标，日常生活中应避免熬夜、焦虑等可能影响心血管健康的行为。","要想预防心律失常发生，有时是非常困难的。但是如果采取适当措施加以预防，则可以减少心律失常的发病率。
1.控制体重，不超过标准体重的5%。
2.避免着凉，预防感冒。保持室内外清洁。
3.不可过量饮酒或常饮高浓度烧酒及吸烟。
4.积极、有效地治疗原发病，这是预防心律失常发生的重要方面。
5.避免突然的冷、热刺激；洗澡时水温不宜过高。
6.避免饮食不节、暴饮暴食，多吃新鲜水果、蔬菜。
7.发现心律失常后，应按医嘱进行治疗。不能自己随意选药或随意停药，应在问医生后再决定如何处理。
8.情绪稳定，不要遇事抑郁，更不能暴怒或过分紧张与焦虑。与周围人和睦相处，保持心情舒畅，不要生闷气。
9.运动要适量，本着“量力而动”的原则，不可勉强运动或过量运动，不能认为运动量越大越有助于健康。中老年人以散步、打太极拳等为宜。
10.不要忽视定期检查身体。有的患者的心律失常就是在检查身体时发现的。一旦发现心律失常，应该及时到医院进行必要的处理。如果患者本人感到不适，更应马上到医院检查，不要认为“没事”而掉以轻心。",成人,
心率,Heart rate,HR,生命体征,60,100,次/分,心率是指正常人安静状态下每分钟心跳的次数，也叫安静心率，一般为60～100次/分，可因年龄、性别或其他生理因素产生个体差异。一般来说，年龄越小，心率越快，老年人心跳比年轻人慢，女性的心率比同龄男性快，这些都是正常的生理现象。安静状态下，成人正常心率为60～100次/分钟，理想心率应为55～70次/分钟（运动员的心率较普通成人偏慢，一般为50次/分钟左右）。,"常参加各种强度适宜的运动，就会使静息心率变慢。虽然运动时心率加快，但运动能使心功能得到锻炼，从而使静息心率减慢。一般适宜的运动心率是“170-年龄”，如一个50岁人，运动心率控制在120次/分钟为宜，过快说明运动量过大，达不到也起不到效果。运动前要自觉舒适、无疲劳感，一般运动不要超过1小时，而且每次最佳时间为30分钟～60分钟，每周至少坚持3次运动。
熬夜、吸烟、饮酒均可使静息心率加快。少喝浓茶，特别是不要在睡前喝，否则容易导致失眠。还应定时大便，保持排便顺畅。
肥胖会使心脏负担加重，心率加快，因此肥胖者要通过健身运动，调节饮食来保持适宜的体重。
生活中心态要平和，不要总着急、生气，如果因为紧张、生气等情况出现心率过快，可以通过听音乐、静心冥想等方式逐渐恢复平静。
某些疾病如高血压及冠心病引起的心率加快，可根据医嘱服用药物，使心率减慢，保护心脏，减少与控制心肌缺血事件，改善心功能，延长寿命。",成人,
心电图,Electrocardiogram,ECG,心电检查,无,无,无单位,窦性心律为正常心电，部分ST-T改变无需特殊处理。,若有心悸或频繁异常建议就诊心内科，评估是否需干预。,成人,心电图是早期识别心律失常、缺血的重要手段。
心音,Heart sounds,HS,体格检查,,,,"心音是心脏收缩、瓣膜关闭及血流冲击产生的机械波现象，可通过听诊器或心音图记录。正常心音分为第一心音（S1，标志心室收缩）和第二心音（S2，标志心室舒张），两者均由瓣膜关闭及血流动力变化形成。儿童及青少年可闻及第三心音（S3），第四心音（S4）则多属病理状态。
心音传导受组织特性影响，肺气肿或肥胖者心音减弱。心音强度、波长变化可反映瓣膜功能、心肌状态及血流动力学异常，如心瓣膜病变会引发杂音。听诊需按七个特定区域进行，心音图则用于记录分析心音波形。异常心音包括舒张期奔马律、收缩期喷射音等，其出现时机与性质对心血管疾病诊断具有重要参考价值。",,成人,
总三碘甲状腺原氨酸TT3,Total triiodothyronine,TT3,甲状腺功能,1.54,3.08,nmol/L,10%-20%T3由甲状腺合成与释放，80%-90%来自于周围组织T4的脱碘转化成T3。T3为主要发挥生物活性的甲状腺激素。血清中T3的绝大多数(99.5%)与血浆中特异蛋白结合，仅极少数处于游离状态(0.5%)。血清中TT3浓度的改变，表示甲状腺功能的异常，TT3浓度的改变常和TT4平行，但有时存在差异，如T4型甲亢，TT3则正常。因此，临床上常同时测定TT3和TT4值。 测定方法：静脉血2ml，不抗凝，分离血清进行测定。,(1) TT3增高： ① TT3是诊断甲状腺功能亢进(甲亢)最灵敏的指标，甲亢时TT3可高出正常值4倍。② 同时TT3是诊断T3型甲亢的特异性指标。　(2) TT3降低： 常见于甲状腺功能减低(甲减)。　(3) 低T3综合征，虽有T3降低，但无甲减症状，可见于恶性贫血、急性心肌梗死、肝硬化、尿毒症等急重病和慢性消耗性疾病。,成人,
总甲状腺素TT4,Total thyroxine,TT4,甲状腺功能,65,156,nmol/L,血清总甲状腺素（TT4）是甲状腺分泌的主要激素之一，每日生成量约80-100μg，其中99.96%以与蛋白结合形式存在于血液，主要结合蛋白为甲状腺激素结合球蛋白（TBG）。血清TBG浓度及结合力变化会影响TT4测定结果，妊娠、雌激素治疗可致TBG升高，雄激素、低蛋白血症则导致其降低。TT4是判定甲状腺功能最基本的筛选试验，常作为甲状腺功能亢进症或减退症的评估指标，并与总三碘甲状腺原氨酸（T3）、游离T3、游离T4及促甲状腺激素（TSH）共同构成甲状腺五项检测套餐 。TT4检测值受年龄、性别及生理状态影响，其临床应用涵盖甲状腺中毒症、甲状腺功能减退及TBG异常相关疾病的辅助诊断。398例检测中甲亢未治组91例及已治组39例的TT4水平差异可为疗效观察提供依据。治疗中枢性甲减时需依据TT4和FT4水平调整左甲状腺素钠片剂量，治疗初期需每4-8周复查TSH、FT4及TT4，达标后每6~12个月复查。检测前需停用含碘食物及特定药物，并保持空腹以减少干扰。,(1)升高：　①甲状腺中毒症：无痛性甲状腺炎、亚急性甲状腺炎、突眼性甲状腺功能亢进症，服甲状腺制剂、畸胎瘤、恶性绒毛膜上皮瘤、垂体促甲状腺激素肿瘤。　②正常甲状腺功能：TBG(甲状腺结合球蛋白)增加症(家族性)、妊娠、新生儿、部分肝癌、肝炎(急性期)、急性间歇性卟啉症、药物（类固醇类）、避孕药、抗甲状腺素抗体阳性的慢性甲状腺炎、家族性异常白蛋白血症、T4结合前白蛋白(TBPA)过多症、一过性高T4血症(急性疾病、口服胆囊造影剂)。　 (2)降低：　①甲状腺功能减退症：慢性甲状腺炎、克汀病、碘有机化障碍、垂体性甲状腺功能减退症。　②正常甲状腺功能：TBG(甲状腺素结合球蛋白)减少症(家族性)、肾病综合征、人工透析治疗、低蛋白血症、蛋白丧失性胃肠症、肝硬化，药物(睾丸酮、蛋白分化激素、肾上腺糖皮质激素、水杨酸、苯妥英钠、大伦丁、肝素)。　③低T3综合征(重症)、甲状腺中毒症、服用T3过量。　 (3)T4型甲状腺功能亢进症(T4增高而T3正常)。,成人,
总胆固醇,Total cholesterol,TC,血脂,0,5.18,mmol/L,升高是心脑血管病的危险因素。,建议改善饮食，增加运动，必要时药物干预。,成人,胆固醇升高需关注心血管健康，控制饮食和生活方式。
总胆汁酸,Total bile acids,TBA,肝功能,0,10,umol/L,总胆汁酸（TBA）是由肝脏合成的胆固醇代谢终产物，包含初级和次级胆汁酸，通过肠肝循环参与脂肪类物质的消化吸收。作为生化检测项目，其在急性肝炎、慢性肝炎、肝硬化等肝脏疾病中具有重要诊断价值，特别是在判断胆汁淤积时特异性较高，妊娠期肝内胆汁淤积（ICP）的诊断标准为TBA≥10μmol/L。TBA检测还可辅助诊断胃溃疡伴胆汁反流、小肠细菌过度繁殖等消化系统疾病，以及与甲状腺功能异常存在关联,肝胆疾病时，总胆汁酸(TBA)明显升高，是一种很灵敏的肝胆功能试验。急性肝炎、肝硬化、原发性肝癌、急性肝内胆汁郁积、原发性胆汁性肝硬化和肝外阻塞性黄疸时，总胆汁酸升高非常显著。,成人,
总胆红素,Total bilirubin,TBil,肝功能,5.13,22.24,μmol/L,总胆红素是直接胆红素和间接胆红素的总和。肝脏对胆红素的代谢起着重要作用，包括肝细胞对血液中未结合胆红素的摄取、结合和排泄三个过程，其中任何一个过程发生障碍，均可引起胆红素在血液中积聚，出现黄疸。,生理性原因引起的总胆红素偏高一般都会在调节后自行恢复。病理性增高患者应引起高度的重视，及时到医院进行治疗，抓住治疗的最佳时机。,肝、胆功能检查,血清总胆红素的测定是肝、胆功能检查中的一项重要检测项目。能准确地反映黄疸的程度，对临床诊断隐性黄疸有重要意义。
总胆红素TBil,Total bilirubin,TBil,肝功能,5.13,22.24,μmol/L,"总胆红素（total bilirubin，TBIL）是直接胆红素与间接胆红素的总称，二者以是否与葡萄糖醛酸结合为区分标准。间接胆红素不溶于水需经肝脏代谢转化为可溶性直接胆红素，后者可通过肾脏排出。肝脏代谢包括肝细胞对未结合胆红素的摄取、结合形成直接胆红素并排泄至胆汁的三个关键环节，任一环节功能障碍均可能导致血液胆红素积聚。检测需空腹12小时采集静脉血。
该指标是肝胆功能检测的重要项目，能够量化评估黄疸程度并辅助隐性黄疸诊断。生理性增高见于新生儿黄疸、饮酒或剧烈运动等情况，通常可自行恢复；病理性增高则与肝炎、肝硬化、胆石症、溶血性黄疸等疾病相关，此类疾病可能干扰胆红素代谢的摄取、结合或排泄过程，需结合临床进行医学干预。","血清总胆红素的测定是肝、胆功能检查中的一项重要检测项目。能准确地反映黄疸的程度，对临床诊断隐性黄疸有重要意义。
1.生理性增高：新生儿出现生理性黄疸，其他没有不适，经过一周左右会自行消退。长期饮酒、剧烈运动等也有可能引起总胆红素增高。生理性原因引起的总胆红素偏高一般都会在调节后自行恢复。
2.病理性增高：常见于肝炎、阻塞性黄疸、肝硬化、新生儿病理性黄疸、胆石症、胰头癌、溶血性黄疸等疾病。患者应引起高度的重视，及时到医院进行治疗，抓住治疗的最佳时机，掌握病情的发展态势，检测病情的发展变化，对自身的病情进行全面的了解。",成人,
总蛋白,Total protein,TP,肝功能,60,80,g/L,血清总蛋白可分为白蛋白和球蛋白两类，在机体中具有重要的生理功能。血清蛋白具有维持血液正常胶体渗透压和PH、运输多种代谢物、调节被运输物质的生理作用和解除其毒性、免疫作用以及营养作用等多种功能。血清总蛋白不仅可用于机体营养状态的监测，还可用于疾病的诊断及鉴别诊断。,增高可能由脱水、多发性骨髓瘤等引起；降低可能由恶性肿瘤、营养不良、肝功能受损等引起。,用于机体营养状态的监测，疾病的诊断及鉴别诊断。,血清总蛋白的正常参考值范围为60～80g/L，超出此范围可能提示健康问题。
收缩压,Systolic blood pressure,SBP,血压,90,119,mmHg,反映心脏收缩时动脉的压力，数值过高提示高血压风险，过低可能引起供血不足,保持健康生活方式，避免高盐饮食、适度运动，若持续异常建议就医,成人,持续高收缩压是心脑血管病的重要危险因素。
木瓜蛋白酶,Papain,PAP,酶学检测,3,9.5,酶活力单位,木瓜蛋白酶是一种含巯基(SH)肽链内切酶，具有蛋白酶和酯酶的活性，有较广泛的特异性，对动植物蛋白、多肽、酯、酰胺等有较强的水解能力。其活性中心含半胱氨酸，属于巯基蛋白酶，具有酶活高、热稳定性好、天然卫生安全等特点。,在食品工业中可用作加工助剂（酶制剂），一般应在制成最后成品之前除去（规定有残留量者除外）。在肉类嫩化、啤酒澄清等方面有广泛应用。,食品、医药、饲料、日化、皮革及纺织等行业,含有木瓜蛋白酶的药物具有消炎、利胆、止痛和消化的作用；在化妆品中具有美白嫩肤、美颜保健、改善肌肤等功效；在饲料添加剂中能提高饲料的利用率，有助于牲畜消化，加速其生长。
木糖基转移酶,Xylosyltransferase,XYLT,酶学检测,10,320,U/L,木糖基转移酶是一类能够催化木糖基转移反应的生物催化剂，在科研检测和工业生产中具有重要应用价值。该酶介导木糖基从供体分子向受体分子的特异性转移，参与多糖合成与修饰过程。其活性中心含有保守的糖基识别结构域，分泌型蛋白属性使其具备跨膜运输能力。,检测需遵循严格温控条件（37±1℃），样本处理要求冰上研磨与超声裂解以保持酶活性。重组蛋白溶解需使用100mM NaHCO3缓冲液且禁止涡旋振荡。,适用于血清、血浆及细胞培养物上清等多种样本分析，支持6种以上物种检测。在天然产物合成领域展现出重要价值，可用于寡糖合成。,该指标主要应用于科研和工业领域，暂无明确临床健康关联数据。冻干粉形态在-80℃可保存12个月，溶解后2-8℃环境下活性保持周期为1个月。
核糖核苷酸还原酶,Ribonucleotide reductase,RNR,酶学检测,0,18,,核糖核苷酸还原酶是广泛存在于各种生物中的唯一催化4种核糖核苷酸还原为脱氧核糖核苷酸的生物酶，作为DNA合成与修复的关键酶和限速酶，通过变构效应维持脱氧核苷酸平衡。该酶具有相似三级结构活性中心，依据结合金属离子分类，采用自由基催化机制调控细胞增殖分化。研究证实其在噬菌体感染中通过调节脱氧核苷酸水平激活抗病毒防御，其亚基RRM1与肿瘤化疗耐药性相关。,"2024年基于DNA重组技术开发的新型人源多肽""核糖核苷酸还原酶10.45""已进入治疗肿瘤及贫血的专利申报阶段，其变构调控机制为酶功能研究提供了经典模型。",DNA合成与修复、细胞增殖与分化及癌症的治疗与抗癌药物开发的重要靶点，同时也是研究酶的结构与功能以及酶的催化机理等的重要工具。,该酶对细胞的增殖和分化起着调控作用，是研究DNA合成与修复、细胞增殖与分化及癌症的治疗与抗癌药物开发的重要靶点。
